"var","n","porc"
"1971",1,0.188679245283019
"1979",2,0.377358490566038
"1981",3,0.566037735849057
"1984",3,0.566037735849057
"1985",5,0.943396226415094
"1986",3,0.566037735849057
"1989",4,0.754716981132076
"1992",2,0.377358490566038
"1994",3,0.566037735849057
"1995",2,0.377358490566038
"1996",2,0.377358490566038
"1999",1,0.188679245283019
"2001",5,0.943396226415094
"2002",7,1.32075471698113
"2003",5,0.943396226415094
"2004",1,0.188679245283019
"2005",1,0.188679245283019
"2006",6,1.13207547169811
"2007",5,0.943396226415094
"2008",3,0.566037735849057
"2009",18,3.39622641509434
"2010",30,5.66037735849057
"2011",6,1.13207547169811
"2012",11,2.07547169811321
"2013",23,4.33962264150943
"2014",11,2.07547169811321
"2015",35,6.60377358490566
"2016",36,6.79245283018868
"2017",22,4.15094339622642
"2018",46,8.67924528301887
"2019",56,10.5660377358491
"2020",172,32.4528301886792
