"","class","family","n","total","porc"
"1","Aves","Accipitridae",31,4751,0.652494211744896
"2","Aves","Anatidae",256,4751,5.38833929699011
"3","Aves","Ardeidae",377,4751,7.93517154283309
"4","Aves","Burhinidae",38,4751,0.799831614396969
"5","Aves","Caprimulgidae",7,4751,0.147337402652073
"6","Aves","Cardinalidae",1,4751,0.0210482003788676
"7","Aves","Cathartidae",97,4751,2.04167543675016
"8","Aves","Charadriidae",298,4751,6.27236371290255
"9","Aves","Ciconiidae",3,4751,0.0631446011366028
"10","Aves","Coerebidae",1,4751,0.0210482003788676
"11","Aves","Columbidae",218,4751,4.58850768259314
"12","Aves","Cuculidae",63,4751,1.32603662386866
"13","Aves","Emberizidae",12,4751,0.252578404546411
"14","Aves","Falconidae",60,4751,1.26289202273206
"15","Aves","Fringillidae",113,4751,2.37844664281204
"16","Aves","Furnariidae",12,4751,0.252578404546411
"17","Aves","Haematopodidae",87,4751,1.83119343296148
"18","Aves","Hirundinidae",114,4751,2.39949484319091
"19","Aves","Hydrobatidae",4,4751,0.0841928015154704
"20","Aves","Icteridae",57,4751,1.19974742159545
"21","Aves","Laridae",755,4751,15.891391286045
"22","Aves","Mimidae",27,4751,0.568301410229425
"23","Aves","Motacillidae",21,4751,0.44201220795622
"24","Aves","Pandionidae",1,4751,0.0210482003788676
"25","Aves","Passeridae",114,4751,2.39949484319091
"26","Aves","Pelecanidae",108,4751,2.2732056409177
"27","Aves","Pelecanoididae",1,4751,0.0210482003788676
"28","Aves","Phalacrocoracidae",238,4751,5.00947169017049
"29","Aves","Phoenicopteridae",5,4751,0.105241001894338
"30","Aves","Podicipedidae",37,4751,0.778783414018101
"31","Aves","Procellariidae",5,4751,0.105241001894338
"32","Aves","Psittacidae",17,4751,0.357819406440749
"33","Aves","Rallidae",109,4751,2.29425384129657
"34","Aves","Recurvirostridae",135,4751,2.84150705114713
"35","Aves","Scolopacidae",760,4751,15.9966322879394
"36","Aves","Spheniscidae",29,4751,0.610397810987161
"37","Aves","Stercorariidae",1,4751,0.0210482003788676
"38","Aves","Strigidae",8,4751,0.168385603030941
"39","Aves","Sulidae",123,4751,2.58892864660072
"40","Aves","Thinocoridae",3,4751,0.0631446011366028
"41","Aves","Thraupidae",137,4751,2.88360345190486
"42","Aves","Threskiornithidae",101,4751,2.12586823826563
"43","Aves","Trochilidae",27,4751,0.568301410229425
"44","Aves","Troglodytidae",21,4751,0.44201220795622
"45","Aves","Tyrannidae",110,4751,2.31530204167544
"46","Insecta","Chrysomelidae",8,4751,0.168385603030941
"47","Mammalia","Otariidae",1,4751,0.0210482003788676
