"","var","n","porc"
"1","1971",1,0.188679245283019
"2","1979",2,0.377358490566038
"3","1981",3,0.566037735849057
"4","1984",3,0.566037735849057
"5","1985",5,0.943396226415094
"6","1986",3,0.566037735849057
"7","1989",4,0.754716981132076
"8","1992",2,0.377358490566038
"9","1994",3,0.566037735849057
"10","1995",2,0.377358490566038
"11","1996",2,0.377358490566038
"12","1999",1,0.188679245283019
"13","2001",5,0.943396226415094
"14","2002",7,1.32075471698113
"15","2003",5,0.943396226415094
"16","2004",1,0.188679245283019
"17","2005",1,0.188679245283019
"18","2006",6,1.13207547169811
"19","2007",5,0.943396226415094
"20","2008",3,0.566037735849057
"21","2009",18,3.39622641509434
"22","2010",30,5.66037735849057
"23","2011",6,1.13207547169811
"24","2012",11,2.07547169811321
"25","2013",23,4.33962264150943
"26","2014",11,2.07547169811321
"27","2015",35,6.60377358490566
"28","2016",36,6.79245283018868
"29","2017",22,4.15094339622642
"30","2018",46,8.67924528301887
"31","2019",56,10.5660377358491
"32","2020",172,32.4528301886792
