gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2843815768	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359992	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columbina	Columbina cruziana		SPECIES	Columbina cruziana (Prevost, 1842)	Columbina cruziana		PE	Peru - Lurin		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.28513	-76.885254	25.0						2019-05-15T00:00:00	15	5	2019	2495891	2495891	HUMAN_OBSERVATION		Observations	OBS.172359992				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:13.382Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2843088404	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/122988554	Animalia	Chordata	Aves	Podicipediformes	Podicipedidae	Podiceps	Podiceps occipitalis	juninensis	SUBSPECIES	Podiceps occipitalis juninensis von Berlepsch & Stolzmann, 1894	Podiceps occipitalis juninensis		PE	Peru - Lima		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.285772	-76.883969	100.0						2016-08-28T00:00:00	28	8	2016	6066458	2482063	HUMAN_OBSERVATION		Observations	OBS.122988554				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:12.316Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2842031400	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/122988564	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Himantopus	Himantopus mexicanus	mexicanus	SUBSPECIES	Himantopus mexicanus mexicanus	Himantopus mexicanus mexicanus		PE	Peru - Lima		PRESENT	10	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.28573	-76.884012	10.0						2016-08-28T00:00:00	28	8	2016	7094883	5229128	HUMAN_OBSERVATION		Observations	OBS.122988564				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:15.435Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2841610766	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359983	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	Charadrius semipalmatus		SPECIES	Charadrius semipalmatus Bonaparte, 1825	Charadrius semipalmatus		PE	Peru - Lima		PRESENT	6	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.284963	-76.886643	25.0						2019-05-15T00:00:00	15	5	2019	2480295	2480295	HUMAN_OBSERVATION		Observations	OBS.172359983				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:20.116Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2841554156	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359989	Animalia	Chordata	Aves	Passeriformes	Motacillidae	Anthus	Anthus peruvianus		SPECIES	Anthus peruvianus Nicholson, 1878	Anthus peruvianus		PE	Peru - Lurin		PRESENT	6	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.284748	-76.885773	25.0						2019-05-15T00:00:00	15	5	2019	8725257	8725257	HUMAN_OBSERVATION		Observations	OBS.172359989				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:53.677Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2841376899	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359998	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa flavipes		SPECIES	Tringa flavipes (Gmelin, 1789)	Tringa flavipes		PE	Peru - Lurin		PRESENT	15	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.285521	-76.883599	25.0						2019-05-15T00:00:00	15	5	2019	2481721	2481721	HUMAN_OBSERVATION		Observations	OBS.172359998				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:01.018Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2841374661	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359984	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Parabuteo	Parabuteo unicinctus		SPECIES	Parabuteo unicinctus (Temminck, 1824)	Parabuteo unicinctus		PE	Peru - Lurin		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.283283	-76.88599	100.0						2019-05-15T00:00:00	15	5	2019	2480410	2480410	HUMAN_OBSERVATION		Observations	OBS.172359984				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:38.387Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2841240846	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359993	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Jabiru	Jabiru mycteria		SPECIES	Jabiru mycteria (Lichtenstein, 1819)	Jabiru mycteria		PE	Peru - Lurin		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.284332	-76.885139	100.0						2019-05-15T00:00:00	15	5	2019	2481953	2481953	HUMAN_OBSERVATION		Observations	OBS.172359993				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:03.687Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2839765397	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/122988565	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	Charadrius semipalmatus		SPECIES	Charadrius semipalmatus Bonaparte, 1825	Charadrius semipalmatus		PE	Peru - Lima		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.28573	-76.884012	10.0						2016-08-28T00:00:00	28	8	2016	2480295	2480295	HUMAN_OBSERVATION		Observations	OBS.122988565				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:46.242Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2837383907	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359985	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris melanotos		SPECIES	Calidris melanotos (Vieillot, 1819)	Calidris melanotos		PE	Peru - Lurin		PRESENT	20	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.28387	-76.885829	25.0						2019-05-15T00:00:00	15	5	2019	2481744	2481744	HUMAN_OBSERVATION		Observations	OBS.172359985				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:30.562Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2837282689	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/165934459	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Bubulcus	Bubulcus ibis		SPECIES	Bubulcus ibis (Linnaeus, 1758)	Bubulcus ibis		PE	Peru - Lurin		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.28549	-76.884506	25.0						2018-12-26T00:00:00	26	12	2018	2480830	2480830	HUMAN_OBSERVATION		Observations	OBS.165934459				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:41.552Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2836774858	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359971	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Bubulcus	Bubulcus ibis		SPECIES	Bubulcus ibis (Linnaeus, 1758)	Bubulcus ibis		PE	Peru - Lurin		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.285495	-76.882693	100.0						2019-05-15T00:00:00	15	5	2019	2480830	2480830	HUMAN_OBSERVATION		Observations	OBS.172359971				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:35.398Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2836224587	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/122988557	Animalia	Chordata	Aves	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax bougainvillii		SPECIES	Leucocarbo bougainvillii (Lesson, 1837)	Leucocarbo bougainvillii		PE	Peru - Lima		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.285772	-76.883969	100.0						2016-08-28T00:00:00	28	8	2016	6066498	2481884	HUMAN_OBSERVATION		Observations	OBS.122988557				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:37.991Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2833908728	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/172359972	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis dominica		SPECIES	Pluvialis dominica (Statius Muller, 1776)	Pluvialis dominica		PE	Peru - Lurin		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.285471	-76.884308	25.0						2019-05-15T00:00:00	15	5	2019	2480328	2480328	HUMAN_OBSERVATION		Observations	OBS.172359972				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:16.488Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2832745873	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/109566577	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Crotophaga	Crotophaga sulcirostris		SPECIES	Crotophaga sulcirostris Swainson, 1827	Crotophaga sulcirostris		PE	Peru - Lima		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-12.285204	-76.884699	100.0						2015-09-27T00:00:00	27	9	2015	2496211	2496211	HUMAN_OBSERVATION		Observations	OBS.109566577				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:06.314Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
